record,row,y_mm,valid,A_mm,B_mm,C_mm,D_mm,diag1_M1_M2_mm,diag2_M3_M4_mm,stick_length_mm,P1_x,P1_z,P2_x,P2_z,P3_x,P3_z,P4_x,P4_z,M1_x,M1_z,M2_x,M2_z,M3_x,M3_z,M4_x,M4_z,obj1_angle_deg,obj2_angle_deg,obj3_angle_deg,obj4_angle_deg,obj1_verticality_error_deg,obj2_verticality_error_deg,obj3_verticality_error_deg,obj4_verticality_error_deg,obj1_chamfer_mm,obj2_chamfer_mm,obj3_chamfer_mm,obj4_chamfer_mm,obj1_projection_x_mm,obj1_projection_z_mm,obj2_projection_x_mm,obj2_projection_z_mm,obj3_projection_x_mm,obj3_projection_z_mm,obj4_projection_x_mm,obj4_projection_z_mm,note
slice,9946,420.564711,True,209.71276,103.902792,210.295479,106.408326,233.310961,232.547149,826.893719,210.055267,104.232572,-0.296555,-1.216955,0.344691,105.189439,209.993235,0.329798,209.350641,103.561663,0.492607,-0.420674,1.02055,104.434606,209.283955,0.971903,89.952956,89.888172,89.990792,89.964215,0.047044,0.111828,0.009208,0.035785,1.800083,1.875759,1.845143,1.8,1.8,0.017277,1.875,0.05337,1.845,0.022944,1.8,0.00105,
slice,10150,430.544378,True,209.679515,103.906565,210.308205,106.417295,233.33414,232.518602,826.893719,210.047195,104.255183,-0.321021,-1.218996,0.369792,105.196057,209.981342,0.348639,209.340458,103.594064,0.472494,-0.420334,1.037472,104.438789,209.276088,0.990353,89.943378,89.91067,89.982304,89.973751,0.056622,0.08933,0.017696,0.026249,1.800029,1.875887,1.845256,1.785004,1.8,0.010206,1.875,0.057697,1.845,0.03076,1.785,0.003699,
slice,10354,440.524045,True,209.653309,103.899,210.349258,106.43113,233.367271,232.493067,826.893719,210.046528,104.273346,-0.346761,-1.230588,0.395258,105.197956,209.996374,0.374358,209.342359,103.606676,0.446606,-0.426241,1.068524,104.449997,209.288141,1.020711,89.945438,89.895887,89.962132,89.94382,0.054562,0.104113,0.037868,0.05618,1.785113,1.875951,1.845099,1.815003,1.785,0.020052,1.875,0.059721,1.845,0.019083,1.815,0.003427,
slice,10558,450.503713,True,209.626357,103.906134,210.362722,106.425055,233.394245,232.454885,826.893719,210.047924,104.297813,-0.375012,-1.224223,0.423499,105.197836,209.981503,0.391701,209.338426,103.634735,0.422821,-0.418825,1.085895,104.443024,209.26653,1.021089,89.970511,89.917202,89.981974,89.949889,0.029489,0.082798,0.018026,0.050111,1.800068,1.860953,1.830186,1.785048,1.8,0.015663,1.86,0.059563,1.83,0.026109,1.785,0.013128,
slice,10762,460.48338,True,209.599139,103.893609,210.401468,106.440228,233.429498,232.430523,826.893719,210.04884,104.313173,-0.398922,-1.236383,0.451579,105.200447,209.996029,0.419578,209.347807,103.644249,0.402826,-0.429405,1.112249,104.448311,209.281803,1.058829,89.960621,89.89587,89.987801,89.965862,0.039379,0.10413,0.012199,0.034138,1.800135,1.875816,1.84517,1.800013,1.8,0.022074,1.875,0.055324,1.845,0.025014,1.8,0.006947,
slice,10966,470.463048,True,209.570234,103.892205,210.420335,106.428014,233.447665,232.401759,826.893719,210.04398,104.334675,-0.423484,-1.229692,0.47551,105.194526,209.990206,0.442484,209.341971,103.670378,0.387149,-0.424266,1.134643,104.446928,209.279281,1.071944,89.928239,89.899544,89.966745,89.945373,0.071761,0.100456,0.033255,0.054627,1.785067,1.875914,1.845068,1.785008,1.785,0.015471,1.875,0.058541,1.845,0.015814,1.785,0.005338,
slice,11170,480.442715,True,209.549271,103.884163,210.453603,106.432113,233.479259,232.381746,826.893719,210.049309,104.349931,-0.44748,-1.236599,0.501727,105.191281,209.999238,0.46578,209.348942,103.677448,0.363878,-0.427343,1.148007,104.444032,209.288311,1.105319,89.941038,89.906972,89.995251,89.96471,0.058962,0.093028,0.004749,0.03529,1.785085,1.875847,1.830167,1.815013,1.785,0.017404,1.875,0.056361,1.83,0.024709,1.815,0.006783,
slice,11374,490.422383,True,209.521663,103.89973,210.470702,106.440268,233.504647,232.351127,826.893719,210.045205,104.376269,-0.47296,-1.235377,0.525161,105.200211,209.990779,0.476553,209.343666,103.704145,0.343507,-0.427282,1.170865,104.452876,209.277801,1.11581,89.953394,89.899809,89.96718,89.958158,0.046606,0.100191,0.03282,0.041842,1.800066,1.875851,1.845169,1.815001,1.8,0.015397,1.875,0.056484,1.845,0.024991,1.815,0.001426,
slice,11578,500.40205,True,209.50675,103.894557,210.495879,106.429457,233.526238,232.33428,826.893719,210.0495,104.391692,-0.494395,-1.236015,0.544265,105.188374,209.994349,0.49715,209.342592,103.724421,0.326546,-0.423532,1.185856,104.448325,209.287313,1.138107,89.923291,89.891014,89.996046,89.964747,0.076709,0.108986,0.003954,0.035253,1.800024,1.875812,1.830081,1.800006,1.8,0.009359,1.875,0.055189,1.83,0.017213,1.8,0.004656,
slice,11782,510.381717,True,209.48987,103.904089,210.51242,106.422742,233.552369,232.303196,826.893719,210.053277,104.416025,-0.516005,-1.227778,0.564834,105.189476,209.989226,0.511956,209.345427,103.748661,0.310111,-0.419213,1.206435,104.448788,209.277715,1.147687,89.964895,89.910472,89.978876,89.977082,0.035105,0.089528,0.021124,0.022918,1.800052,1.875869,1.830167,1.800004,1.8,0.013723,1.875,0.057101,1.83,0.024724,1.8,0.003776,
